NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_INT,GEN_ACT2
(PALS)PREVENTION AND SUPPRESSION TREATMENTS FOR MOUNTAIN PINE BEETLE AT DEVELOPE,INT_CUT,2011-05-31,5.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)WARM SPRINGS FUELS REDUCTION PROJECT,INT_CUT,2008-05-22,28.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)WARM SPRINGS FUELS REDUCTION PROJECT,UA,2010-12-17,20.0,939 days 00:00:00.000000000,939,UA
(PALS)CUSTER COUNTY TRANSFER STATION SPECIAL USE PERMIT (CONTINUED-SEE COMMENTS,INT_CUT,2016-11-18,25.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)COMBINED COW CAMP AND JOB CREEK FUEL REDUCTION PROJECT,INT_CUT,2014-09-18,29.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)COMBINED COW CAMP AND JOB CREEK FUEL REDUCTION PROJECT,EA,2015-12-18,11.0,456 days 00:00:00.000000000,456,EA
(PALS)BRUNDAGE WILDLAND-URBAN INTERFACE - BEAR BASIN RESTORATION PROJECT DN/FONS,INT_CUT,2017-09-11,130.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)BRUNDAGE WILDLAND-URBAN INTERFACE - BEAR BASIN RESTORATION PROJECT DN/FONS,INT_CUT,2017-10-15,6.0,34 days 00:00:00.000000000,34,INT_CUT
(PALS)BRUNDAGE WILDLAND-URBAN INTERFACE - BEAR BASIN RESTORATION PROJECT DN/FONS,EAINT_CUT,2017-11-15,208.0,31 days 00:00:00.000000000,31,INT_CUT-EA
(PALS)BRUNDAGE WILDLAND-URBAN INTERFACE - BEAR BASIN RESTORATION PROJECT DN/FONS,INT_CUT,2017-11-17,25.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)BRUNDAGE WILDLAND-URBAN INTERFACE - BEAR BASIN RESTORATION PROJECT DN/FONS,INT_CUT,2018-07-11,23.0,236 days 00:00:00.000000000,236,INT_CUT
(PALS)BRUNDAGE WILDLAND-URBAN INTERFACE - BEAR BASIN RESTORATION PROJECT DN/FONS,INT_CUT,2018-07-15,67.0,4 days 00:00:00.000000000,4,INT_CUT
(PALS)BRUNDAGE WILDLAND-URBAN INTERFACE - BEAR BASIN RESTORATION PROJECT DN/FONS,INT_CUT,2018-08-15,40.0,31 days 00:00:00.000000000,31,INT_CUT
(PALS)GRAYS CREEK FIRE SALVAGE PROJECT,EA,2008-09-09,41.0,0 days 00:00:00.000000000,0,EA
(PALS)NIDGS HABITAT RESTORATION TREATMENTS STUDY BY UNIVERSITY OF IDAHO,INT_CUT,2017-11-15,31.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)JOB CREEK FUELS REDUCTION PROJECT,INT_CUT,2014-09-18,56.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)KELLEY SALVAGE,INT_CUT,2014-11-17,30.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)MESA FIRE SALVAGE AND REFORESTATION PROJECT DECISION MEMO,EA,2019-02-15,76.0,0 days 00:00:00.000000000,0,EA
(PALS)MESA FIRE SALVAGE AND REFORESTATION PROJECT DECISION MEMO,EA,2019-06-10,30.0,115 days 00:00:00.000000000,115,EA
(PALS)MESA FIRE SALVAGE AND REFORESTATION PROJECT DECISION MEMO,EA,2019-06-15,30.0,5 days 00:00:00.000000000,5,EA
(PALS)MESA FIRE SALVAGE AND REFORESTATION PROJECT DECISION MEMO,EA,2019-06-19,1.0,4 days 00:00:00.000000000,4,EA
(PALS)MESA FIRE SALVAGE AND REFORESTATION PROJECT DECISION MEMO,EA,2019-06-20,3.0,1 days 00:00:00.000000000,1,EA
(PALS)MESA FIRE SALVAGE AND REFORESTATION PROJECT DECISION MEMO,EA,2019-07-15,105.0,25 days 00:00:00.000000000,25,EA
HAYNES POST AND POLE TIMBER SALE,EA,2005-08-01,16.0,0 days 00:00:00.000000000,0,EA
(PALS)LITTLE RED GOOSE FOREST RESILIENCE PROJECT DECISION MEMO,EA,2020-01-21,1.0,0 days 00:00:00.000000000,0,EA
(PALS)LITTLE RED GOOSE FOREST RESILIENCE PROJECT DECISION MEMO,EAINT_CUT,2020-09-09,257.29999999999995,232 days 00:00:00.000000000,232,INT_CUT-EA
WITHINGTON SALVAGE,INT_CUT,2005-08-01,433.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)SMITH BATES RIDGE TIMBER SALE,EA,2006-09-14,38.0,0 days 00:00:00.000000000,0,EA
(PALS)HALSTEAD FIRE SALVAGE PROJECT,INT_CUT,2019-07-01,24.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)HALSTEAD FIRE SALVAGE PROJECT,INT_CUT,2019-09-25,19.0,86 days 00:00:00.000000000,86,INT_CUT
(PALS)IDAHO POWER SOUTH FORK POWERLINE RELOCATION SPECIAL USE PERMIT AMENDMENT,LAND_CLEAR,2016-11-16,8.0,0 days 00:00:00.000000000,0,LAND_CLEAR
(PALS)AVELENE SALVAGE PROJECT,INT_CUT,2015-10-23,58.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)DN/FONSI NORTHEAST STANLEY INTERFACE FUELS REDUCTION PROJECT,INT_CUT,2010-11-07,14.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)DN/FONSI NORTHEAST STANLEY INTERFACE FUELS REDUCTION PROJECT,INT_CUT,2011-11-01,72.0,359 days 00:00:00.000000000,359,INT_CUT
(PALS)PICO SALVAGE PROJECT,INT_CUT,2011-10-18,6.4,0 days 00:00:00.000000000,0,INT_CUT
(PALS)PICO SALVAGE PROJECT,INT_CUT,2012-09-30,20.6,348 days 00:00:00.000000000,348,INT_CUT
(PALS)TEPEE SPRINGS SALVAGE,EA,2016-07-29,50.099999999999994,0 days 00:00:00.000000000,0,EA
(PALS)KRASSEL ADMINISTRATIVE HAZARD TREE,INT_CUT,2013-07-11,5.0,0 days 00:00:00.000000000,0,INT_CUT
