NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_ACTIVITY,int
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-09-14,73.0,44 days 00:00:00.000000000,INT_CUT to INT_CUT,44
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2004-09-15,9.0,1 days 00:00:00.000000000,INT_CUT to UA-RH-FH,1
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-09-15,48.0,0 days 00:00:00.000000000,INT_CUT and UA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2004-09-20,139.0,5 days 00:00:00.000000000,INT_CUT to UA-RH-FH,5
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-09-28,2.0,8 days 00:00:00.000000000,UA-RH-FH to INT_CUT,8
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2004-09-30,12.0,2 days 00:00:00.000000000,INT_CUT to EA-RH-FH,2
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-09-30,43.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-10-15,10.0,15 days 00:00:00.000000000,INT_CUT to INT_CUT,15
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-10-20,25.0,5 days 00:00:00.000000000,INT_CUT to INT_CUT,5
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-10-25,5.0,5 days 00:00:00.000000000,INT_CUT to INT_CUT,5
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-12-05,69.0,41 days 00:00:00.000000000,INT_CUT to INT_CUT,41
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-01-15,35.0,41 days 00:00:00.000000000,INT_CUT to INT_CUT,41
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-02-15,34.0,31 days 00:00:00.000000000,INT_CUT to INT_CUT,31
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-05-01,13.0,75 days 00:00:00.000000000,INT_CUT to INT_CUT,75
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-06-01,69.0,31 days 00:00:00.000000000,INT_CUT to INT_CUT,31
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-06-04,20.0,3 days 00:00:00.000000000,INT_CUT to INT_CUT,3
